date,category,amount,description
2024-01-01,Food,45.50,Grocery shopping
2024-01-02,Transport,12.00,Bus ticket
2024-01-03,Food,25.00,Lunch at restaurant
2024-01-04,Entertainment,35.00,Movie tickets
2024-01-05,Utilities,120.00,Electricity bill
2024-01-06,Food,18.50,Coffee and snacks
2024-01-07,Shopping,89.99,Clothing
2024-01-08,Transport,25.00,Taxi ride
2024-01-09,Food,42.30,Grocery shopping
2024-01-10,Health,150.00,Doctor visit
2024-01-11,Entertainment,60.00,Concert tickets
2024-01-12,Food,22.00,Dinner
2024-01-13,Transport,15.00,Train ticket
2024-01-14,Utilities,85.00,Internet bill
2024-01-15,Food,30.00,Grocery shopping
2024-01-16,Shopping,120.00,Electronics
2024-01-17,Food,28.00,Lunch
2024-01-18,Transport,18.00,Bus pass
2024-01-19,Entertainment,45.00,Video games
2024-01-20,Food,35.50,Grocery shopping
2024-01-21,Health,75.00,Pharmacy
2024-01-22,Food,20.00,Coffee
2024-01-23,Transport,30.00,Taxi
2024-01-24,Utilities,95.00,Water bill
2024-01-25,Food,40.00,Grocery shopping
2024-01-26,Entertainment,55.00,Streaming subscription
2024-01-27,Shopping,65.00,Books
2024-01-28,Food,25.00,Dinner
2024-01-29,Transport,12.00,Bus ticket
2024-01-30,Food,38.00,Grocery shopping
2024-01-31,Utilities,110.00,Phone bill
2024-02-01,Food,42.00,Grocery shopping
2024-02-02,Transport,15.00,Bus ticket
2024-02-03,Food,28.00,Lunch
2024-02-04,Entertainment,40.00,Movie
2024-02-05,Food,22.00,Coffee and snacks
2024-02-06,Shopping,95.00,Clothing
2024-02-07,Transport,20.00,Taxi
2024-02-08,Food,35.00,Grocery shopping
2024-02-09,Health,200.00,Dental checkup
2024-02-10,Entertainment,50.00,Concert
2024-02-11,Food,30.00,Dinner
2024-02-12,Transport,18.00,Train ticket
2024-02-13,Utilities,90.00,Internet bill
2024-02-14,Food,45.00,Grocery shopping
2024-02-15,Shopping,150.00,Electronics
2024-02-16,Food,25.00,Lunch
2024-02-17,Transport,22.00,Bus pass
2024-02-18,Entertainment,35.00,Video games
2024-02-19,Food,38.00,Grocery shopping
2024-02-20,Health,60.00,Pharmacy
2024-02-21,Food,18.00,Coffee
2024-02-22,Transport,28.00,Taxi
2024-02-23,Utilities,100.00,Water bill
2024-02-24,Food,42.00,Grocery shopping
2024-02-25,Entertainment,65.00,Streaming subscription
2024-02-26,Shopping,80.00,Books
2024-02-27,Food,32.00,Dinner
2024-02-28,Transport,15.00,Bus ticket
2024-02-29,Food,40.00,Grocery shopping
2024-03-01,Utilities,115.00,Phone bill
2024-03-02,Food,48.00,Grocery shopping
2024-03-03,Transport,18.00,Bus ticket
2024-03-04,Food,30.00,Lunch
2024-03-05,Entertainment,45.00,Movie
2024-03-06,Food,25.00,Coffee and snacks
2024-03-07,Shopping,110.00,Clothing
2024-03-08,Transport,25.00,Taxi
2024-03-09,Food,38.00,Grocery shopping
2024-03-10,Health,180.00,Doctor visit
2024-03-11,Entertainment,55.00,Concert
2024-03-12,Food,35.00,Dinner
2024-03-13,Transport,20.00,Train ticket
2024-03-14,Utilities,95.00,Internet bill
2024-03-15,Food,42.00,Grocery shopping
2024-03-16,Shopping,130.00,Electronics
2024-03-17,Food,28.00,Lunch
2024-03-18,Transport,24.00,Bus pass
2024-03-19,Entertainment,40.00,Video games
2024-03-20,Food,36.00,Grocery shopping
2024-03-21,Health,70.00,Pharmacy
2024-03-22,Food,20.00,Coffee
2024-03-23,Transport,32.00,Taxi
2024-03-24,Utilities,105.00,Water bill
2024-03-25,Food,45.00,Grocery shopping
2024-03-26,Entertainment,70.00,Streaming subscription
2024-03-27,Shopping,90.00,Books
2024-03-28,Food,38.00,Dinner
2024-03-29,Transport,18.00,Bus ticket
2024-03-30,Food,44.00,Grocery shopping
2024-03-31,Utilities,120.00,Phone bill
